lat,lon
36.63145,138.1886607097365
36.631596103072894,138.18863032893637
36.631726373610825,138.18854247876706
36.63182669477964,138.1884066791576
36.631886195224055,138.1882376461028
36.63189842714768,138.18805369695696
36.63186206503179,138.18787476546427
36.631781049275865,138.18772024162843
36.63166415919413,138.1876068705047
36.6315240616407,138.18754693761346
36.631375938359305,138.18754693761346
36.63123584080587,138.1876068705047
36.63111895072414,138.18772024162843
36.63103793496821,138.18787476546427
36.63100157285232,138.18805369695696
36.63101380477595,138.1882376461028
36.63107330522036,138.1884066791576
36.63117362638918,138.18854247876706
36.63130389692711,138.18863032893637
