lon,lat
138.1884,36.63145
138.1883837451725,36.63154740984076
138.1883367421528,36.63163426381381
138.18826408444744,36.63170114994348
138.18817364564615,36.631740820079784
138.18807522619636,36.631748975347904
138.1879794913726,36.631724731998
138.18789681552852,36.6316707171732
138.18783615787464,36.631592784217915
138.18780409160897,36.631499378377086
138.18780409160897,36.631400621622916
138.18783615787464,36.63130721578209
138.18789681552852,36.6312292828268
138.1879794913726,36.631175268002
138.18807522619636,36.6311510246521
138.18817364564615,36.63115917992022
138.18826408444744,36.63119885005652
138.1883367421528,36.631265736186194
138.1883837451725,36.63135259015924
