nothing,repetition,hamming
400012,1195,3498
400002,1199,3619
400018,1198,3624
400068,1187,3686
400027,1193,3621
400047,1212,3600
399955,1201,3351
399970,1187,3614
399925,1183,3540
399989,1208,3614
399984,1197,3624
400043,1193,3566
400097,1212,3603
400034,1198,3627
400016,1195,3554
399999,1198,3501
400021,1201,3508
400016,1195,3353
400058,1201,3622
400023,1179,3545
399960,1212,3608
399965,1198,3572
400016,1191,3621
399973,1200,3362
399951,1195,3497
399974,1197,3626
399967,1199,3495
399995,1189,3616
400018,1197,3352
400033,1179,3548
399905,1180,3535
400000,1192,3357
400045,1191,3686
399975,1186,3624
399981,1188,3569
400037,1193,3608
399968,1200,3353
400098,1191,3625
399937,1200,3498
399977,1193,3690
400027,1195,3625
400064,1198,3488
399982,1194,3624
399972,1193,3501
400001,1210,3591
400081,1196,3503
400004,1199,3625
399998,1192,3687
400081,1194,3689
399990,1196,3626
400059,1210,3603
399990,1193,3694
400067,1189,3607
399897,1180,3554
399960,1212,3592
399882,1193,3673
399983,1195,3355
400026,1207,3607
399935,1209,3604
399989,1196,3503
400012,1204,3618
400011,1211,3603
399968,1209,3606
400025,1201,3504
400022,1187,3689
399923,1211,3599
400059,1198,3356
400005,1213,3605
399972,1198,3497
399992,1186,3569
399989,1175,3540
399927,1209,3598
399995,1192,3627
400034,1207,3603
399958,1182,3552
399983,1192,3555
399934,1187,3688
399936,1183,3547
399993,1195,3559
399964,1196,3610
400034,1191,3568
400003,1193,3678
399844,1181,3556
399960,1198,3495
399982,1178,3549
400023,1193,3364
399980,1192,3626
400061,1199,3504
400049,1197,3622
399890,1197,3501
399905,1194,3677
400020,1191,3679
399921,1194,3673
399973,1190,3553
399975,1193,3693
399890,1195,3362
399954,1195,3620
400035,1195,3493
399952,1198,3505
399950,1197,3566
