nothing,repetition,hamming
39971,12,18
40003,6,18
39987,6,6
39984,6,24
40012,6,18
39993,12,18
40006,6,32
40017,6,36
40022,6,18
40006,0,36
39985,6,6
40016,0,36
40021,6,6
39977,12,18
40000,6,24
40002,6,12
40010,6,36
39972,6,12
39998,6,24
39984,12,17
39993,6,36
40000,6,6
39975,6,36
40022,6,18
40019,6,12
39996,6,6
39992,12,18
39972,6,6
39995,6,6
39974,6,24
39983,12,18
39995,6,18
40016,6,12
39984,6,36
40016,6,18
40003,6,12
39995,6,12
40006,0,36
39976,6,24
40013,12,18
39995,6,12
40002,6,6
39975,12,18
40036,6,15
39994,12,18
40006,6,12
39981,12,18
39973,6,12
40010,5,6
40020,0,36
39980,6,24
40009,6,18
39975,0,36
40022,6,18
40001,12,18
39970,6,12
40035,6,12
39984,12,18
40020,0,36
39976,12,18
40014,6,6
40018,6,18
40014,6,6
40009,6,36
40021,12,18
39996,5,6
39998,6,36
39988,6,18
40003,6,12
39991,6,36
39989,0,36
39970,12,18
39979,12,18
40013,6,18
39988,6,6
39976,6,36
39990,6,24
39970,6,12
40011,6,18
40008,6,12
39976,6,24
40003,0,36
39991,6,24
39996,6,10
39980,6,24
39975,6,24
40000,6,6
40012,5,6
39994,6,12
40008,6,6
39999,6,6
39980,11,18
39994,6,12
39996,6,6
39982,6,22
39996,6,12
40005,6,6
39974,12,18
39998,6,12
39967,6,6
