nothing,repetition,hamming
126491150,94701712,135941590
126491993,94702237,135945073
126490416,94702075,135946810
126490839,94701775,135943032
126492030,94702394,135945292
126491534,94702765,135940669
126491368,94702924,135941060
126492371,94701299,135943416
126489593,94702502,135943400
126492184,94702423,135947112
126489368,94702784,135940921
126490573,94701990,135940978
126490406,94701992,135941561
126490725,94701486,135940751
126491145,94702549,135941989
126490811,94702850,135941194
126490805,94701918,135942591
126491759,94702198,135942755
126491277,94702734,135945149
126491122,94702251,135942940
126492264,94700675,135943872
126491554,94701281,135944008
126490885,94703324,135940635
126491328,94701381,135942781
126491794,94703628,135941375
126490804,94703391,135945078
126490728,94700139,135942036
126491565,94701840,135942502
126491833,94702951,135944685
126490499,94702670,135942618
126490961,94702200,135942190
126490375,94701825,135942679
126491547,94702026,135941314
126491647,94701674,135946499
126492080,94702800,135941493
126492100,94702883,135945376
126490645,94702093,135941560
126491769,94701788,135943268
126491294,94702526,135943556
126489828,94702022,135949078
126491809,94701774,135943109
126491227,94702457,135943563
126491743,94702124,135946678
126490708,94701520,135942604
126491781,94701228,135944802
126490942,94702183,135946518
126491488,94703394,135945004
126491085,94701620,135944409
126490779,94703290,135945497
126490834,94702079,135940576
126491852,94701014,135942698
126490702,94700924,135944943
126491331,94702176,135944237
126489981,94701863,135942206
126491398,94701431,135944060
126491863,94702885,135941136
126490005,94702701,135948380
126490250,94702721,135943230
126490292,94702733,135943136
126490833,94703535,135947859
126492268,94702521,135943801
126490338,94701781,135946189
126489989,94701730,135944507
126490363,94701448,135941449
126490600,94701548,135941319
126490684,94702870,135942291
126489377,94701787,135943938
126491821,94702460,135943493
126491305,94703062,135943771
126491774,94701943,135941562
126489207,94702500,135942202
126491785,94702718,135942135
126490282,94701657,135942477
126492170,94700899,135944854
126492134,94703031,135943716
126489313,94701607,135943233
126491035,94703381,135945316
126490431,94702579,135945306
126491102,94701931,135943035
126492676,94702256,135942517
126491049,94701303,135945572
126490188,94701378,135941427
126490812,94702117,135942170
126490710,94701820,135946004
126489851,94703892,135943470
126491224,94702917,135941511
126492308,94701458,135943426
126490811,94702763,135947437
126491808,94700944,135942671
126491390,94702769,135940528
126490689,94701577,135943704
126490835,94702184,135940902
126491200,94701468,135948541
126491811,94704037,135941108
126490062,94701576,135943366
126490857,94703270,135950099
126489848,94702040,135940413
126491098,94702163,135941449
126492021,94701820,135940055
126490814,94701937,135946775
