nothing,repetition,hamming
39999615,11200453,26749549
39998467,11200135,26753450
40000071,11200137,26754775
40000045,11200215,26754609
39999398,11200030,26749713
39998922,11199876,26753523
39999565,11199946,26753518
39999757,11200346,26757605
39999660,11200005,26758172
39999988,11200533,26749724
40000389,11200354,26749959
39999397,11200618,26749202
40000732,11200437,26746313
39999711,11200163,26755837
39999699,11200011,26754876
39999933,11200041,26758241
40000392,11199933,26745637
40000082,11200299,26758038
40000514,11200250,26748926
39999898,11200055,26758300
39999979,11199993,26749560
40000027,11199832,26755411
39999288,11200154,26754167
39999798,11200117,26748226
39999937,11200385,26749254
39999933,11200656,26749883
40000210,11200034,26758167
40000578,11200699,26757543
39999369,11200468,26757844
40000238,11200258,26758364
40000605,11200295,26755440
39999232,11200089,26750397
40000006,11200238,26755835
39999972,11200033,26745625
39999758,11199828,26746691
39999459,11200045,26753213
39999788,11200537,26755101
40000005,11200025,26754622
40000519,11200036,26754115
40000802,11200218,26747609
40000158,11200033,26754558
40000406,11200436,26750151
39999851,11199986,26750023
40000036,11200304,26749968
39999859,11200867,26746919
40000244,11200502,26750358
39999843,11200117,26748819
39999657,11200375,26749145
40000243,11200012,26758593
39999238,11199843,26753578
39999830,11200366,26754201
39999717,11200432,26748991
40000507,11200002,26749442
39999872,11200444,26750811
39998598,11200097,26756354
40000291,11199824,26755317
40000398,11200396,26755229
39999680,11200189,26757680
39999512,11199916,26747576
39999786,11200164,26755241
39999521,11199979,26757959
40000914,11200173,26747851
39999635,11200138,26746616
39999992,11199937,26755177
39999479,11199985,26746852
40000499,11200299,26749910
39998001,11200064,26748719
39999636,11199889,26757360
39999740,11200185,26749412
40000121,11199749,26758300
39999934,11200280,26748087
40000137,11200357,26755042
39999640,11200427,26757599
39999896,11200002,26746756
39999644,11200022,26747214
39999778,11200024,26757839
40000624,11199772,26749252
40000365,11200088,26754894
39999286,11200368,26757636
40000447,11200231,26757894
39999981,11200076,26750838
39999742,11199729,26748560
40000220,11200222,26758367
40000070,11200507,26755664
40000818,11200298,26749873
39999451,11200316,26749574
40000085,11200267,26757810
39999830,11199972,26755079
40000002,11200113,26754919
39999664,11199924,26755238
39999775,11200090,26757697
40000773,11199702,26746970
40001004,11200344,26755273
39999865,11199937,26750197
40000519,11200045,26755383
40000430,11200078,26756121
39999148,11200129,26754693
40000410,11200457,26749305
40000212,11199906,26747430
39999408,11200075,26747160
