nothing,repetition,hamming
12648468,1174684,3282941
12649320,1174725,3283079
12649227,1174618,3283344
12649306,1174673,3283921
12649166,1174655,3283766
12648992,1174644,3282770
12648790,1174826,3284546
12648949,1174641,3283247
12649184,1174881,3282788
12649606,1174784,3281689
12649029,1174752,3283066
12649256,1174637,3282762
12648984,1174642,3283621
12649450,1174719,3281815
12649010,1174567,3282799
12648900,1174622,3282880
12649146,1174775,3284891
12649214,1174452,3283554
12648805,1174568,3284448
12649510,1174704,3283375
12648957,1174760,3284018
12649408,1174749,3282815
12648618,1174499,3282675
12649027,1174727,3282797
12649113,1174472,3283264
12649185,1174493,3282951
12649170,1174598,3282854
12649122,1174634,3282783
12649188,1174817,3281880
12649292,1174839,3282399
12648843,1174568,3282594
12648979,1174609,3282659
12649165,1174700,3284802
12649620,1174519,3283032
12649599,1174746,3284503
12649107,1174610,3283484
12649416,1174798,3284700
12649154,1174634,3282957
12649598,1174485,3283065
12648759,1174682,3283732
12649183,1174811,3284748
12649206,1174730,3282492
12649143,1174664,3282638
12649175,1174683,3282507
12649273,1174810,3284750
12649327,1174497,3282820
12649327,1174547,3282881
12649122,1174601,3283471
12648943,1174659,3283020
12649570,1174548,3283688
12649139,1174780,3283414
12649203,1174843,3284869
12649151,1174818,3284744
12649064,1174591,3283484
12649093,1174596,3283441
12649301,1174726,3283762
12649571,1174673,3281882
12649008,1174570,3283540
12649494,1174586,3283539
12648974,1174799,3281826
12648887,1174566,3282770
12649538,1174693,3283622
12649370,1174676,3283618
12649063,1174652,3282171
12649133,1174411,3282967
12649265,1174571,3282621
12649026,1174772,3281857
12648961,1174613,3283004
12649237,1174622,3284582
12649241,1174826,3284735
12649180,1174565,3282731
12649058,1174735,3281625
12648837,1174706,3283012
12648950,1174816,3282687
12648882,1174561,3283063
12648864,1174684,3282552
12648999,1174655,3283724
12649156,1174744,3282675
12649250,1174817,3282148
12649231,1174695,3284469
12648931,1174782,3282789
12649628,1174660,3283448
12648305,1174612,3281930
12649182,1174583,3282936
12649164,1174711,3282861
12649213,1174629,3284491
12649390,1174635,3282809
12648948,1174615,3283776
12649621,1174711,3282845
12649407,1174451,3284455
12648957,1174724,3284830
12648692,1174603,3283474
12648979,1174646,3282692
12649338,1174767,3282932
12649308,1174564,3283250
12649246,1174730,3282876
12648898,1174573,3282661
12649101,1174698,3282940
12649255,1174679,3283597
12648556,1174607,3282811
