nothing,repetition,hamming
126505,138,307
126536,119,336
126510,84,280
126451,83,280
126477,136,287
126472,138,312
126483,89,378
126470,84,354
126541,84,354
126494,101,258
126486,120,334
126464,138,288
126512,90,377
126504,138,281
126466,102,258
126531,90,377
126465,120,333
126509,120,336
126514,84,345
126551,84,354
126491,102,258
126494,138,312
126473,120,335
126459,89,370
126538,138,288
126529,84,345
126473,133,309
126522,102,254
126464,132,272
126502,102,255
126530,132,275
126471,138,286
126493,138,311
126475,132,274
126486,132,272
126482,119,333
126505,131,270
126496,131,271
126463,83,279
126444,90,375
126488,138,311
126444,90,375
126469,137,283
126426,136,283
126437,84,281
126510,84,354
126499,130,270
126448,83,274
126486,101,257
126516,90,372
126471,132,276
126511,100,251
126465,119,331
126474,102,256
126508,101,257
126479,100,251
126537,102,258
126508,89,378
126508,84,354
126484,82,280
126491,131,275
126489,90,374
126468,131,276
126427,138,309
126508,138,286
126486,120,335
126446,83,277
126487,83,350
126499,132,271
126410,131,273
126498,136,288
126501,84,349
126499,89,378
126429,83,354
126428,89,378
126503,137,310
126503,87,378
126505,137,308
126435,84,275
126462,138,288
126478,138,311
126493,131,271
126466,83,279
126480,83,354
126475,84,281
126481,89,378
126465,101,258
126476,101,257
126501,83,354
126459,120,334
126488,89,373
126483,89,375
126479,90,376
126420,137,306
126505,90,375
126503,137,288
126484,131,273
126425,138,312
126533,90,377
126565,137,288
