nothing,repetition,hamming
9965,90,265
9917,100,316
10019,94,270
10046,85,295
10007,93,297
10175,97,275
9914,100,308
9964,97,278
10009,98,294
9891,103,297
10166,97,298
9863,78,260
10084,95,315
10019,101,278
9917,108,278
9997,84,309
10076,90,270
10172,95,240
9999,96,296
9933,116,299
9847,112,313
10159,86,305
10004,96,263
9843,95,267
9897,108,256
9865,103,278
10245,102,289
10092,94,288
10080,102,288
10231,109,274
10106,81,305
10103,93,254
10177,108,291
9903,89,265
10076,115,309
9906,90,302
9912,93,298
9894,87,250
9888,91,295
9872,81,269
9895,85,274
9901,97,299
10102,90,287
9973,106,298
9980,102,291
10030,96,321
10151,100,283
10150,100,280
9862,98,282
10023,103,272
10092,106,275
10035,87,271
9872,82,278
10012,103,276
10059,91,275
9989,103,300
9976,89,281
9960,94,264
9891,107,294
9977,98,302
9985,96,291
9985,104,279
10158,94,296
10138,93,294
10016,98,260
10045,109,288
9838,97,289
9878,88,294
9890,85,312
9959,96,237
9986,92,292
10048,93,272
10169,95,304
10027,97,279
9971,98,261
10053,96,243
9884,88,340
9919,88,253
10036,84,307
10074,98,241
9843,79,313
10021,105,271
10018,95,287
10158,88,253
9904,101,287
9854,97,271
10082,96,260
9925,103,298
9820,104,294
10011,82,260
9955,88,265
9959,100,235
10058,106,259
9890,109,280
9932,101,287
9937,88,335
9945,92,274
9930,93,307
9956,90,274
9968,105,296
