nothing,repetition,hamming
9947,2,6
9954,2,2
9947,2,10
10071,2,1
10010,1,3
9986,3,3
10019,3,6
10076,1,4
10065,1,1
10020,1,6
10032,1,1
9964,1,2
9995,2,2
9990,2,2
10005,3,3
9974,2,6
10010,1,4
9955,1,6
9990,2,3
10015,1,3
9943,0,7
10018,1,1
10041,1,4
9940,1,4
9954,2,4
10031,2,3
10067,2,1
9927,1,2
10001,2,2
10055,1,2
9989,3,4
9986,2,3
10037,4,5
9904,2,6
10058,1,4
10041,1,4
9966,0,11
10028,2,1
10024,1,6
10104,1,10
9996,3,5
9935,2,8
10047,0,11
10059,1,2
9969,2,8
9973,1,6
9950,2,2
9986,2,1
9922,0,7
10038,1,6
9972,3,3
9950,2,8
10059,0,11
10101,1,10
10030,2,1
9997,1,1
9981,0,12
9964,2,6
10017,3,4
10032,1,4
10004,0,11
10001,3,4
10038,2,6
9998,2,1
9993,3,5
9940,2,10
9966,1,6
10040,1,1
10004,3,4
10036,1,4
9982,2,3
9986,2,4
10003,2,2
10024,2,6
10031,1,8
9956,2,6
10050,2,1
9951,1,10
9977,1,3
10075,0,11
9984,1,6
10004,4,5
9949,2,8
9945,0,7
9971,2,2
9954,2,4
9993,2,1
9996,2,3
10046,1,2
10024,3,6
9986,2,4
10030,1,4
9988,1,6
10017,2,6
10010,2,2
10014,1,6
9994,2,1
10088,1,10
9937,2,4
9942,2,10
