nothing,repetition,hamming
9944,323,873
10071,268,906
9845,259,938
9913,281,871
10053,285,842
9978,272,884
9940,305,879
9992,294,881
9931,292,860
9917,305,878
9980,281,795
10182,312,859
9938,292,832
10081,307,935
10189,304,851
10017,269,834
10082,311,876
9933,277,882
10064,285,864
9995,295,894
10101,304,926
10136,263,958
10062,294,807
10061,282,864
10146,307,897
10073,295,916
10072,296,907
9851,299,879
9979,298,847
10036,290,884
10018,304,869
10073,296,839
10037,283,938
9874,310,882
10138,309,870
9905,288,855
9957,295,859
10250,291,898
10048,317,805
9940,311,886
10168,315,923
10024,291,881
10151,315,911
10005,265,872
10049,308,875
10005,300,895
10010,310,800
10045,284,886
10014,298,875
9928,304,936
9862,307,866
9692,313,850
10077,288,875
9938,303,811
9920,306,898
9967,257,872
9750,312,901
10156,296,841
10091,315,933
10145,308,901
10050,295,890
9970,295,817
10087,301,905
9855,287,850
10333,305,873
10076,285,824
10057,283,870
9877,293,832
9901,288,919
10091,299,855
10034,312,800
9941,320,868
10044,315,875
10118,290,862
10031,322,814
10078,266,932
9954,299,917
9844,300,922
10065,310,880
10018,276,906
10060,270,888
9975,303,895
9857,293,814
9962,321,867
9843,298,883
9952,278,861
9976,299,881
10029,297,906
10039,293,868
10142,267,871
9925,279,905
9897,307,867
9976,287,871
9902,300,883
10084,305,865
10113,293,881
10149,313,883
9990,285,886
10063,307,853
9954,289,912
