nothing,repetition,hamming
9993,2873,6715
9960,2744,6699
10056,2824,6990
9842,2763,6574
9956,2746,6572
9997,2779,6747
9936,2855,6627
9944,2750,6646
10039,2812,6722
10063,2665,6832
10043,2836,6786
10223,2770,6519
9917,2763,6721
10011,2777,6906
9968,2726,6663
10032,2765,6868
10170,2827,6684
10016,2854,6741
10136,2786,6677
10070,2828,6720
10012,2811,6565
9871,2868,6744
10033,2942,6650
9843,2924,6603
10067,2706,6581
9952,2797,6691
9930,2741,6633
10058,2728,6895
9844,2808,6666
10075,2821,6852
9915,2716,6783
9944,2737,6715
9812,2865,6707
10073,2826,6944
9790,2791,6787
10071,2741,6596
10195,2835,6564
10156,2791,6538
10000,2810,6664
10032,2797,6716
10124,2826,6621
10039,2818,6481
10052,2801,6739
9994,2749,6816
9975,2772,6631
9905,2884,6688
9797,2725,6645
9908,2799,6730
10044,2757,6693
9804,2755,6526
10059,2893,6768
10143,2868,6672
9899,2826,6562
9913,2767,6718
9887,2793,6806
10025,2849,6709
9999,2851,6525
10048,2823,6813
9920,2784,6708
10092,2832,6686
9988,2784,6753
10144,2755,6635
10057,2771,6846
10023,2742,6711
10096,2790,6594
10000,2774,6570
9927,2904,6621
9911,2821,6703
10111,2845,6857
10067,2755,6817
10038,2691,6805
10036,2774,6686
10119,2784,6624
10003,2834,6544
10020,2798,6690
9811,2822,6477
9907,2783,6827
9961,2837,6461
10066,2698,6776
9943,2871,6738
10104,2728,6672
10008,2716,6698
10086,2794,6732
9933,2783,6849
9890,2740,6840
10161,2781,6742
10055,2731,6671
9976,2807,6709
10111,2908,6454
9934,2862,6592
9981,2867,6638
10100,2797,6697
9913,2875,6855
10038,2818,6664
9936,2839,6725
9990,2824,6772
9880,2805,6791
10004,2843,6804
9993,2753,6605
9875,2865,6867
