nothing,repetition,hamming
9971,0,0
9985,0,0
10000,0,0
9965,0,0
9965,0,0
9983,0,0
9999,0,0
10002,0,0
10031,0,0
9987,0,0
9986,0,0
10007,0,0
9967,0,0
9976,0,0
10018,0,0
10001,0,0
10022,0,0
9960,0,0
10000,0,0
9984,0,0
9989,0,0
9982,0,0
10026,0,0
9977,0,0
9987,0,0
10007,0,0
9969,0,0
10021,0,0
9999,0,0
9987,0,0
9990,0,0
10015,0,0
10002,0,0
9978,0,0
10010,0,0
9977,0,0
10000,0,0
9984,0,0
10001,0,0
9993,0,0
9972,0,0
9990,0,0
9980,0,0
10022,0,0
10031,0,0
9984,0,0
9996,0,0
9976,0,0
9969,0,0
9991,0,0
10024,0,0
9999,0,0
10018,0,0
10005,0,0
10000,0,0
9988,0,0
9969,0,0
10027,0,0
9979,0,0
9980,0,0
10003,0,0
9990,0,0
10003,0,0
9978,0,0
9986,0,0
9970,0,0
9954,0,0
10004,0,0
10018,0,0
10016,0,0
9992,0,0
9989,0,0
9967,0,0
10014,0,0
9995,0,0
10011,0,0
9989,0,0
10024,0,0
9993,0,0
9993,0,0
10032,0,0
10000,0,0
9989,0,0
9983,0,0
9991,0,0
9975,0,0
10035,0,0
10030,0,0
9997,0,0
10007,0,0
10009,0,0
9964,0,0
10005,0,0
9986,0,0
9995,0,0
9993,0,0
9982,0,0
10020,0,0
9987,0,0
10030,0,0
