nothing,repetition,hamming
9934,7,25
9998,11,12
9988,9,18
10174,6,34
9944,2,36
10139,7,45
9977,7,11
9970,9,18
10036,9,18
9933,8,27
9980,10,21
9962,5,23
9956,9,22
10027,8,26
9928,11,13
9953,5,23
10001,10,25
10033,6,32
10085,8,14
9933,14,7
9903,7,23
10082,15,22
10138,7,34
9981,10,21
10023,3,24
9939,5,23
10008,7,25
10074,9,14
10081,14,31
10030,17,20
9936,7,10
9917,8,17
9972,8,24
9951,9,22
9998,14,28
10039,9,30
10033,4,27
10005,8,37
9939,7,10
9850,7,16
9981,3,32
9973,10,16
9931,10,10
10079,6,30
9991,8,22
9977,7,18
10069,3,28
10036,15,20
9991,14,20
10077,13,23
10010,15,19
10034,5,27
9978,8,24
10014,11,25
10024,12,34
9972,6,31
9993,9,15
10073,14,35
9971,12,22
9973,2,36
9925,11,13
10006,5,23
9952,9,14
10063,8,22
10010,10,15
9989,19,11
9937,7,11
10087,14,22
10014,12,35
9991,10,23
10074,6,24
10074,9,24
9943,7,28
9998,10,15
10104,14,31
9913,12,10
10098,7,29
9969,4,35
9992,16,22
9933,10,10
10076,9,14
10072,13,23
9917,12,13
9980,9,26
9942,4,46
9913,10,11
9915,8,12
10110,14,31
10101,14,23
10004,6,31
9964,4,35
9905,15,10
10003,12,12
9975,11,10
9946,5,23
9985,6,31
10008,10,34
10003,17,16
10052,13,23
10063,9,24
