nothing,repetition,hamming
9899,25,80
9954,33,91
9917,32,103
9839,28,83
9872,23,97
10054,28,97
9929,35,90
9995,34,100
10047,33,90
10235,25,110
9854,29,83
10003,35,101
9921,23,72
9896,32,93
10092,37,90
10013,34,103
10033,22,89
10131,30,111
9937,33,85
9974,28,100
9929,18,80
9918,31,68
9890,37,86
9973,26,84
9959,30,66
9975,33,81
10067,30,93
10101,30,90
10009,27,98
9962,31,81
10077,35,98
10073,28,105
10082,32,97
10132,30,104
9925,26,87
10068,32,97
9855,31,86
9963,23,78
10036,36,111
10104,26,82
9950,29,82
9992,32,77
9860,43,81
10064,29,99
9977,25,80
9853,39,90
10116,30,89
10092,31,74
9912,30,84
10013,32,93
9874,29,75
10030,29,74
10132,29,77
10057,31,108
10030,25,97
10005,24,73
10052,33,87
9928,23,75
9919,34,88
9931,28,81
9984,22,87
10010,24,72
10208,27,103
10036,29,104
10021,36,99
10010,29,98
10085,29,83
10003,31,97
10027,36,83
10041,28,80
10166,28,88
9916,36,86
9880,32,87
9897,30,101
10031,31,98
9810,28,98
10174,28,80
10010,30,88
9847,23,94
10222,32,98
10102,28,73
10043,27,93
10001,35,96
10055,25,73
9976,18,97
9906,26,100
10091,27,65
10086,27,91
10026,31,87
10008,39,86
10008,35,83
9957,34,95
9976,37,106
9944,28,91
9926,32,103
9852,33,89
9871,38,94
9877,36,75
10004,35,86
10041,30,98
